Poll,Date,Sample,MoE,O'Rourke (D),Trump (R),Spread
EmersonEmerson,2/14 - 2/16,1000 RV,3.3,53,47,O'Rourke +6
PPP (D)PPP (D),1/19 - 1/21,760 RV,3.6,47,41,O'Rourke +6
